,Image,F1,Jaccard,Recall,Precision
0,1120.jpg,0.9479311543810848,0.9010162769561266,0.915924743826642,0.9822554494685642
1,1619.jpg,0.8220140515222483,0.6978131212723658,0.9901269393511989,0.7027027027027027
2,210.jpg,0.0,0.0,0.0,0.0
3,2146.jpg,0.9753470448953061,0.9518803806071591,0.9856432391855119,0.9652637382834038
4,1979.jpg,0.8736263736263736,0.775609756097561,0.9754601226993865,0.7910447761194029
5,1761.jpg,0.9184466019417477,0.8491921005385996,0.9772727272727273,0.8663003663003663
6,2478.jpg,0.0,0.0,0.0,0.0
7,1847.jpg,0.9574151280524121,0.9183090545558412,0.971005738447599,0.9441997063142438
8,2796.jpg,0.8038422649140546,0.6720202874049028,0.8803986710963455,0.7395348837209302
9,35.jpg,0.9896507115135833,0.9795134443021767,0.996742671009772,0.9826589595375722
10,1231.jpg,0.9711305643509034,0.943881245474294,0.9704075935231714,0.9718546132339235
11,100.jpg,0.9777674201817758,0.956501915010031,0.9862717442407146,0.9694085027726432
12,1922.jpg,0.9531442663378544,0.9104829210836278,0.9948519948519948,0.914792899408284
13,1823.jpg,0.8900840336134455,0.8019382192610539,0.898236092265943,0.8820786142571619
14,1543.jpg,0.9435081148564295,0.8930576070901034,0.9904980340760158,0.9007747318235996
15,2409.jpg,0.9274292742927429,0.8646788990825688,0.9869109947643979,0.8747099767981439
16,1889.jpg,0.0,0.0,0.0,0.0
17,1684.jpg,0.0,0.0,0.0,0.0
18,1875.jpg,0.9778752971292741,0.9567084078711986,0.9941444372153546,0.962130071062337
19,2502.jpg,0.0,0.0,0.0,0.0
20,2809.jpg,0.820020481310804,0.6949446734649598,0.8577932512051419,0.7854340362923001
21,104.jpg,0.9705832913094639,0.9428478118876551,0.9681421864520456,0.9730367374452309
22,2130.jpg,0.9645814626359374,0.9315860474079785,0.9925059028847141,0.9381853469189714
23,1107.jpg,0.9770404525360079,0.9551115241635688,0.9732007575757575,0.980910566001718
24,87.jpg,0.9871717293961031,0.9746684191659697,0.9871717293961031,0.9871717293961031
25,2519.jpg,0.0,0.0,0.0,0.0
26,1262.jpg,0.9535368395243349,0.9111996251171509,0.9534199558715372,0.9536537518391368
27,2581.jpg,0.0,0.0,0.0,0.0
28,1265.jpg,0.0,0.0,0.0,0.0
29,1366.jpg,0.9743034893156612,0.9498945147679325,0.9936551724137931,0.9556911647651897
30,489.jpg,0.8731478135164439,0.7748556767158435,0.9161926431551005,0.8339661719019675
31,111.jpg,0.9681297986382731,0.9382282746033974,0.9644274478678115,0.9718606849414673
32,1714.jpg,0.970013037809648,0.9417721518987342,0.9872611464968153,0.9533572526909277
33,191.jpg,0.9276844411979547,0.8651226158038147,0.9414381022979985,0.9143268538516919
34,360.jpg,0.31644421407282625,0.18796182266009853,0.9479813664596274,0.18992067195520299
35,2601.jpg,0.7303402916785816,0.5752252252252252,0.7130094919039642,0.7485345838218054
36,171.jpg,0.9686197404640189,0.9391490010675614,0.9829209896249003,0.9547286821705426
37,2292.jpg,0.9572162007986309,0.9179431072210066,0.9767171129220024,0.9384787472035794
38,85.jpg,0.7797325826882477,0.6389850057670127,0.9840142095914742,0.6456876456876457
39,1838.jpg,0.9469067405355492,0.8991670320035072,0.9586351951390512,0.9354618015963512
40,2561.jpg,0.8568398727465535,0.7495361781076066,0.8215556685307575,0.8952908587257618
